,Date,Sg. Galas Dabong (m)
0,2016-01-01,27.69
1,2016-02-01,27.7
2,2016-03-01,26.8
3,2016-04-01,26.32
4,2016-05-01,26.22
5,2016-06-01,26.05
6,2016-07-01,25.98
7,2016-08-01,25.89
8,2016-09-01,25.81
9,2016-10-01,25.68
10,2016-11-01,25.51
11,2016-12-01,25.47
12,2016-01-13,25.41
13,2016-01-14,25.41
14,2016-01-15,25.59
15,2016-01-16,25.58
16,2016-01-17,26.63
17,2016-01-18,26.52
18,2016-01-19,26.06
19,2016-01-20,25.59
20,2016-01-21,25.38
21,2016-01-22,25.47
22,2016-01-23,25.43
23,2016-01-24,25.22
24,2016-01-25,25.15
25,2016-01-26,25.64
26,2016-01-27,26.27
27,2016-01-28,26.18
28,2016-01-29,25.94
29,2016-01-30,25.63
30,2016-01-31,25.39
31,2016-01-02,25.25
32,2016-02-02,25.2
33,2016-03-02,25.27
34,2016-04-02,25.73
35,2016-05-02,26.37
36,2016-06-02,28.16
37,2016-07-02,28.19
38,2016-08-02,27.55
39,2016-09-02,26.47
40,2016-10-02,26.07
41,2016-11-02,25.86
42,2016-12-02,25.89
43,2016-02-13,26.26
44,2016-02-14,26.38
45,2016-02-15,25.85
46,2016-02-16,26.2
47,2016-02-17,26.07
48,2016-02-18,25.63
49,2016-02-19,25.49
50,2016-02-20,25.72
51,2016-02-21,25.46
52,2016-02-22,25.28
53,2016-02-23,25.33
54,2016-02-24,25.42
55,2016-02-25,25.27
56,2016-02-26,25.18
57,2016-02-27,25.18
58,2016-02-28,25.65
59,2016-02-29,25.61
60,2016-01-03,25.56
61,2016-02-03,25.3
62,2016-03-03,25.19
63,2016-04-03,25.06
64,2016-05-03,25.03
65,2016-06-03,24.99
66,2016-07-03,24.97
67,2016-08-03,24.98
68,2016-09-03,24.87
69,2016-10-03,24.85
70,2016-11-03,24.86
71,2016-12-03,24.98
72,2016-03-13,24.8
73,2016-03-14,24.69
74,2016-03-15,24.74
75,2016-03-16,24.68
76,2016-03-17,24.65
77,2016-03-18,24.69
78,2016-03-19,24.72
79,2016-03-20,24.62
80,2016-03-21,24.58
212,2016-07-31,33.65
303,2016-10-30,29.16
304,2016-10-31,29.16
321,2016-11-17,28.38
322,2016-11-18,28.18
323,2016-11-19,28.26
324,2016-11-20,28.66
325,2016-11-21,30.56
326,2016-11-22,29.86
327,2016-11-23,29.12
328,2016-11-24,29.04
329,2016-11-25,29.02
330,2016-11-26,28.73
331,2016-11-27,28.85
332,2016-11-28,28.85
333,2016-11-29,29.03
334,2016-11-30,28.66
335,2016-01-12,28.77
336,2016-02-12,31.3
337,2016-03-12,30.79
338,2016-04-12,29.49
339,2016-05-12,29.26
340,2016-06-12,29.05
341,2016-07-12,29.77
342,2016-08-12,29.49
343,2016-09-12,29.75
344,2016-10-12,30.27
345,2016-11-12,31.26
346,2016-12-12,31.14
347,2016-12-13,29.2
348,2016-12-14,28.93
349,2016-12-15,28.73
350,2016-12-16,28.55
351,2016-12-17,28.55
352,2016-12-18,29.53
353,2016-12-19,29.02
354,2016-12-20,29.38
355,2016-12-21,29.29
356,2016-12-22,28.86
357,2016-12-23,28.75
358,2016-12-24,29.2
359,2016-12-25,30.65
360,2016-12-26,29.34
361,2016-12-27,29.33
362,2016-12-28,29.14
363,2016-12-29,28.79
364,2016-12-30,28.79
365,2016-12-31,28.79
366,2017-01-01,35.67
367,2017-02-01,33.24
368,2017-03-01,33.99
369,2017-04-01,31.95
370,2017-05-01,31.07
371,2017-06-01,30.49
372,2017-07-01,30.22
373,2017-08-01,29.91
374,2017-09-01,29.54
375,2017-10-01,29.33
376,2017-11-01,29.22
377,2017-12-01,29.31
378,2017-01-13,29.23
379,2017-01-14,28.93
380,2017-01-15,28.87
381,2017-01-16,28.8
382,2017-01-17,29.55
383,2017-01-18,30.15
384,2017-01-19,30.36
385,2017-01-20,30.84
386,2017-01-21,30.71
387,2017-01-22,33.79
388,2017-01-23,33.35
389,2017-01-24,35.62
390,2017-01-25,37.32
391,2017-01-26,37.49
392,2017-01-27,37.47
393,2017-01-28,37.98
394,2017-01-29,33.58
395,2017-01-30,31.78
396,2017-01-31,31.49
397,2017-01-02,30.93
398,2017-02-02,30.81
399,2017-03-02,30.71
400,2017-04-02,30.57
401,2017-05-02,30.38
402,2017-06-02,30.41
403,2017-07-02,30.16
404,2017-08-02,29.9
405,2017-09-02,29.78
406,2017-10-02,29.54
407,2017-11-02,29.6
408,2017-12-02,29.55
409,2017-02-13,29.59
410,2017-02-14,29.71
411,2017-02-15,29.93
412,2017-02-16,29.98
413,2017-02-17,29.63
414,2017-02-18,29.54
415,2017-02-19,29.65
416,2017-02-20,29.68
417,2017-02-21,29.38
418,2017-02-22,29.25
419,2017-02-23,29.27
420,2017-02-24,29.33
421,2017-02-25,29.32
422,2017-02-26,29.67
423,2017-02-27,30.61
424,2017-02-28,30.68
425,2017-01-03,30.53
426,2017-02-03,31.35
427,2017-03-03,31.88
428,2017-04-03,30.95
429,2017-05-03,29.91
430,2017-06-03,29.6
431,2017-07-03,29.55
432,2017-08-03,29.38
433,2017-09-03,29.17
434,2017-10-03,29.15
435,2017-11-03,28.98
436,2017-12-03,28.94
437,2017-03-13,28.82
438,2017-03-14,28.91
439,2017-03-15,28.94
440,2017-03-16,28.71
441,2017-03-17,28.78
442,2017-03-18,28.72
443,2017-03-19,28.71
444,2017-03-20,29.67
445,2017-03-21,29.45
446,2017-03-22,29.26
447,2017-03-23,28.8
448,2017-03-24,28.68
449,2017-03-25,28.7
450,2017-03-26,28.76
451,2017-03-27,28.59
452,2017-03-28,28.84
453,2017-03-29,28.87
454,2017-03-30,28.97
455,2017-03-31,29.78
456,2017-01-04,29.36
457,2017-02-04,29.91
458,2017-03-04,29.92
459,2017-04-04,29.89
460,2017-05-04,29.32
461,2017-06-04,29.09
462,2017-07-04,29.18
463,2017-08-04,29.98
464,2017-09-04,30.04
465,2017-10-04,29.33
466,2017-11-04,29.6
467,2017-12-04,29.84
468,2017-04-13,29.73
469,2017-04-14,29.72
470,2017-04-15,29.54
471,2017-04-16,29.02
472,2017-04-17,28.83
473,2017-04-18,28.98
474,2017-04-19,29.21
475,2017-04-20,29.48
476,2017-04-21,30.38
477,2017-04-22,29.68
478,2017-04-23,29.26
479,2017-04-24,29.07
480,2017-04-25,29.17
481,2017-04-26,29.17
482,2017-04-27,29.22
483,2017-04-28,29.03
484,2017-04-29,29.24
485,2017-04-30,30.32
486,2017-01-05,28.68
487,2017-02-05,28.61
488,2017-03-05,28.73
489,2017-04-05,28.83
490,2017-05-05,28.97
491,2017-06-05,29.53
492,2017-07-05,29.0
493,2017-08-05,28.94
494,2017-09-05,29.36
495,2017-10-05,30.93
496,2017-11-05,29.76
497,2017-12-05,30.12
498,2017-05-13,30.2
499,2017-05-14,29.79
500,2017-05-15,29.42
501,2017-05-16,30.14
502,2017-05-17,30.14
503,2017-05-18,29.55
504,2017-05-19,30.81
505,2017-05-20,30.88
506,2017-05-21,29.91
507,2017-05-22,29.91
508,2017-05-23,30.06
509,2017-05-24,30.27
510,2017-05-25,29.92
511,2017-05-26,30.0
512,2017-05-27,29.7
513,2017-05-28,29.52
514,2017-05-29,29.02
515,2017-05-30,29.99
516,2017-05-31,30.45
517,2017-01-06,29.52
518,2017-02-06,29.27
519,2017-03-06,29.43
520,2017-04-06,29.88
521,2017-05-06,29.31
522,2017-06-06,29.25
523,2017-07-06,29.14
524,2017-08-06,29.06
525,2017-09-06,29.0
526,2017-10-06,29.83
527,2017-11-06,30.09
528,2017-12-06,29.15
529,2017-06-13,28.93
530,2017-06-14,29.28
531,2017-06-15,29.4
532,2017-06-16,29.21
533,2017-06-17,29.23
534,2017-06-18,29.47
535,2017-06-19,29.4
536,2017-06-20,29.5
537,2017-06-21,29.57
538,2017-06-22,29.78
539,2017-06-23,29.48
540,2017-06-24,28.97
541,2017-06-25,28.95
542,2017-06-26,28.84
543,2017-06-27,28.84
544,2017-06-28,28.83
545,2017-06-29,28.3
546,2017-06-30,28.4
547,2017-01-07,29.73
548,2017-02-07,30.11
549,2017-03-07,29.76
550,2017-04-07,30.41
551,2017-05-07,30.74
552,2017-06-07,29.94
553,2017-07-07,29.34
554,2017-08-07,29.4
555,2017-09-07,29.86
556,2017-10-07,29.7
557,2017-11-07,30.76
558,2017-12-07,30.5
559,2017-07-13,30.03
560,2017-07-14,30.16
561,2017-07-15,29.5
562,2017-07-16,29.14
563,2017-07-17,28.97
564,2017-07-18,28.89
565,2017-07-19,28.78
566,2017-07-20,28.81
567,2017-07-21,28.82
568,2017-07-22,28.87
569,2017-07-23,29.04
570,2017-07-24,28.83
571,2017-07-25,28.54
572,2017-07-26,28.48
573,2017-07-27,28.4
574,2017-07-28,28.35
575,2017-07-29,30.46
576,2017-07-30,30.72
577,2017-07-31,30.61
578,2017-01-08,28.82
579,2017-02-08,28.94
580,2017-03-08,28.82
581,2017-04-08,28.49
582,2017-05-08,28.45
583,2017-06-08,28.36
584,2017-07-08,28.4
585,2017-08-08,28.93
586,2017-09-08,28.88
587,2017-10-08,29.58
588,2017-11-08,29.54
589,2017-12-08,29.9
590,2017-08-13,29.76
591,2017-08-14,29.59
592,2017-08-15,29.7
593,2017-08-16,29.56
594,2017-08-17,28.99
595,2017-08-18,28.94
596,2017-08-19,28.93
597,2017-08-20,28.72
598,2017-08-21,28.85
599,2017-08-22,29.68
600,2017-08-23,29.33
601,2017-08-24,29.13
602,2017-08-25,30.16
603,2017-08-26,30.62
604,2017-08-27,31.02
605,2017-08-28,29.88
606,2017-08-29,30.47
607,2017-08-30,30.6
608,2017-08-31,30.6
609,2017-01-09,29.9
610,2017-02-09,30.28
611,2017-03-09,30.03
612,2017-04-09,30.17
613,2017-05-09,29.87
614,2017-06-09,30.64
615,2017-07-09,30.91
616,2017-08-09,30.36
617,2017-09-09,30.07
618,2017-10-09,29.57
619,2017-11-09,30.02
620,2017-12-09,31.04
621,2017-09-13,29.91
622,2017-09-14,29.63
623,2017-09-15,29.82
624,2017-09-16,29.9
625,2017-09-17,29.77
626,2017-09-18,30.56
627,2017-09-19,30.85
628,2017-09-20,30.67
629,2017-09-21,30.4
630,2017-09-22,29.9
631,2017-09-23,30.08
632,2017-09-24,29.49
633,2017-09-25,29.43
634,2017-09-26,30.05
635,2017-09-27,30.87
636,2017-09-28,30.09
637,2017-09-29,30.58
638,2017-09-30,30.25
639,2017-01-10,30.63
640,2017-02-10,30.85
641,2017-03-10,30.69
642,2017-04-10,30.12
643,2017-05-10,29.97
644,2017-06-10,29.75
645,2017-07-10,29.65
646,2017-08-10,30.26
647,2017-09-10,29.81
648,2017-10-10,30.35
649,2017-11-10,30.75
650,2017-12-10,30.13
651,2017-10-13,30.96
652,2017-10-14,30.91
653,2017-10-15,29.8
654,2017-10-16,29.45
655,2017-10-17,29.35
656,2017-10-18,29.39
657,2017-10-19,29.58
658,2017-10-20,29.25
659,2017-10-21,29.16
660,2017-10-22,29.27
661,2017-10-23,28.94
662,2017-10-24,29.2
663,2017-10-25,29.13
664,2017-10-26,30.06
665,2017-10-27,29.34
666,2017-10-28,30.64
667,2017-10-29,35.3
668,2017-10-30,32.03
669,2017-10-31,32.03
670,2017-01-11,29.77
671,2017-02-11,29.95
672,2017-03-11,30.34
673,2017-04-11,30.31
674,2017-05-11,30.95
675,2017-06-11,32.19
676,2017-07-11,30.91
677,2017-08-11,30.81
678,2017-09-11,32.51
679,2017-10-11,31.74
680,2017-11-11,30.81
681,2017-12-11,31.64
682,2017-11-13,31.05
683,2017-11-14,31.35
684,2017-11-15,31.81
685,2017-11-16,31.65
686,2017-11-17,31.62
687,2017-11-18,31.1
688,2017-11-19,30.28
689,2017-11-20,30.39
690,2017-11-21,30.23
691,2017-11-22,30.33
692,2017-11-23,30.27
693,2017-11-24,30.22
694,2017-11-25,30.32
695,2017-11-26,30.56
696,2017-11-27,32.07
697,2017-11-28,35.55
698,2017-11-29,29.94
699,2017-11-30,30.43
700,2017-01-12,34.26
701,2017-02-12,34.35
702,2017-03-12,32.61
703,2017-04-12,32.03
704,2017-05-12,33.35
705,2017-06-12,34.14
706,2017-07-12,32.92
707,2017-08-12,32.42
708,2017-09-12,32.21
709,2017-10-12,31.37
710,2017-11-12,30.93
711,2017-12-12,30.91
712,2017-12-13,30.87
713,2017-12-14,30.65
714,2017-12-15,30.52
715,2017-12-16,30.46
716,2017-12-17,30.4
717,2017-12-18,30.3
718,2017-12-19,30.15
719,2017-12-20,30.42
720,2017-12-21,30.23
721,2017-12-22,30.3
722,2017-12-23,30.46
723,2017-12-24,30.47
724,2017-12-25,30.23
725,2017-12-26,30.0
726,2017-12-27,30.09
727,2017-12-28,29.89
728,2017-12-29,29.89
729,2017-12-30,29.89
730,2017-12-31,29.89
731,2018-01-01,33.28
732,2018-02-01,36.71
733,2018-03-01,34.98
734,2018-04-01,34.41
735,2018-05-01,32.69
736,2018-06-01,31.68
737,2018-07-01,31.65
738,2018-08-01,31.99
739,2018-09-01,31.94
740,2018-10-01,31.63
741,2018-11-01,31.35
742,2018-12-01,32.21
743,2018-01-13,33.58
744,2018-01-14,32.09
745,2018-01-15,31.11
746,2018-01-16,31.0
747,2018-01-17,30.76
748,2018-01-18,30.55
749,2018-01-19,30.4
750,2018-01-20,30.54
751,2018-01-21,30.79
752,2018-01-22,30.61
753,2018-01-23,31.2
754,2018-01-24,30.92
755,2018-01-25,30.75
756,2018-01-26,30.56
757,2018-01-27,30.07
758,2018-01-28,29.86
759,2018-01-29,30.22
760,2018-01-30,30.04
761,2018-01-31,30.21
762,2018-01-02,29.99
763,2018-02-02,30.03
764,2018-03-02,30.28
765,2018-04-02,29.73
766,2018-05-02,29.55
767,2018-06-02,29.77
768,2018-07-02,29.62
769,2018-08-02,29.59
770,2018-09-02,29.43
771,2018-10-02,29.12
772,2018-11-02,29.35
773,2018-12-02,29.35
774,2018-02-13,29.16
775,2018-02-14,29.14
776,2018-02-15,29.26
777,2018-02-16,29.12
778,2018-02-17,29.14
779,2018-02-18,29.37
780,2018-02-19,28.87
781,2018-02-20,29.4
782,2018-02-21,29.23
783,2018-02-22,29.23
784,2018-02-23,29.23
785,2018-02-24,29.23
786,2018-02-25,29.23
787,2018-02-26,29.23
788,2018-02-27,29.23
789,2018-02-28,29.23
790,2018-01-03,28.67
791,2018-02-03,28.67
792,2018-03-03,28.67
793,2018-04-03,28.67
794,2018-05-03,28.67
795,2018-06-03,28.67
796,2018-07-03,28.67
797,2018-08-03,28.67
