,Date,Sg. Golok (m)
0,2016-01-01,5.45
1,2016-02-01,5.51
2,2016-03-01,5.23
3,2016-04-01,5.03
4,2016-05-01,4.9
5,2016-06-01,4.77
6,2016-07-01,4.66
7,2016-08-01,4.58
8,2016-09-01,4.5
9,2016-10-01,4.44
10,2016-11-01,4.39
11,2016-12-01,4.34
12,2016-01-13,4.29
13,2016-01-14,4.25
14,2016-01-15,4.37
15,2016-01-16,4.35
16,2016-01-17,5.23
17,2016-01-18,5.27
18,2016-01-19,4.79
19,2016-01-20,4.54
20,2016-01-21,4.38
21,2016-01-22,4.39
22,2016-01-23,4.87
23,2016-01-24,4.58
24,2016-01-25,4.39
25,2016-01-26,4.51
26,2016-01-27,6.05
27,2016-01-28,7.89
28,2016-01-29,8.99
29,2016-01-30,8.56
30,2016-01-31,7.3
31,2016-01-02,6.34
32,2016-02-02,5.85
33,2016-03-02,5.62
34,2016-04-02,5.7
35,2016-05-02,6.07
36,2016-06-02,6.55
37,2016-07-02,6.57
38,2016-08-02,6.34
39,2016-09-02,5.96
40,2016-10-02,5.64
41,2016-11-02,5.45
42,2016-12-02,5.27
43,2016-02-13,5.14
44,2016-02-14,5.51
45,2016-02-15,5.23
46,2016-02-16,5.11
47,2016-02-17,5.1
48,2016-02-18,5.0
49,2016-02-19,5.11
50,2016-02-20,5.36
51,2016-02-21,5.09
52,2016-02-22,4.92
53,2016-02-23,4.83
54,2016-02-24,4.76
55,2016-02-25,4.7
56,2016-02-26,4.65
57,2016-02-27,4.63
58,2016-02-28,4.94
59,2016-02-29,5.08
60,2016-01-03,4.88
61,2016-02-03,4.72
62,2016-03-03,4.62
63,2016-04-03,4.56
64,2016-05-03,4.51
65,2016-06-03,4.49
66,2016-07-03,4.45
67,2016-08-03,4.42
68,2016-09-03,4.39
69,2016-10-03,4.36
70,2016-11-03,4.34
71,2016-12-03,4.32
72,2016-03-13,4.3
73,2016-03-14,4.27
74,2016-03-15,4.25
75,2016-03-16,4.23
76,2016-03-17,4.2
77,2016-03-18,4.18
78,2016-03-19,4.17
79,2016-03-20,4.15
80,2016-03-21,4.14
81,2016-03-22,4.12
82,2016-03-23,4.1
83,2016-03-24,4.09
84,2016-03-25,4.07
85,2016-03-26,4.13
86,2016-03-27,4.11
87,2016-03-28,4.13
88,2016-03-29,4.16
89,2016-03-30,3.86
90,2016-03-31,4.02
91,2016-01-04,4.05
92,2016-02-04,4.03
93,2016-03-04,4.0
94,2016-04-04,3.98
95,2016-05-04,3.97
96,2016-06-04,3.96
97,2016-07-04,3.99
98,2016-08-04,3.98
99,2016-09-04,3.97
100,2016-10-04,3.95
101,2016-11-04,3.94
102,2016-12-04,3.93
103,2016-04-13,3.95
104,2016-04-14,3.97
105,2016-04-15,3.95
106,2016-04-16,3.93
107,2016-04-17,3.94
108,2016-04-18,3.94
109,2016-04-19,3.97
110,2016-04-20,3.96
111,2016-04-21,3.95
112,2016-04-22,3.94
113,2016-04-23,3.93
114,2016-04-24,3.92
115,2016-04-25,3.91
116,2016-04-26,3.89
117,2016-04-27,3.88
118,2016-04-28,3.87
119,2016-04-29,3.86
120,2016-04-30,4.01
121,2016-01-05,3.85
122,2016-02-05,3.84
123,2016-03-05,3.84
124,2016-04-05,3.83
125,2016-05-05,3.83
126,2016-06-05,3.83
127,2016-07-05,3.83
128,2016-08-05,3.85
129,2016-09-05,3.87
130,2016-10-05,3.87
131,2016-11-05,3.84
132,2016-12-05,3.83
133,2016-05-13,3.82
134,2016-05-14,3.81
135,2016-05-15,3.81
136,2016-05-16,3.81
137,2016-05-17,3.81
138,2016-05-18,3.81
139,2016-05-19,3.81
140,2016-05-20,4.15
141,2016-05-21,4.17
142,2016-05-22,4.26
143,2016-05-23,4.14
144,2016-05-24,4.09
145,2016-05-25,4.05
146,2016-05-26,4.06
147,2016-05-27,4.02
148,2016-05-28,3.97
149,2016-05-29,4.0
150,2016-05-30,4.96
151,2016-05-31,5.37
152,2016-01-06,4.23
153,2016-02-06,4.23
154,2016-03-06,4.29
155,2016-04-06,4.48
156,2016-05-06,4.28
157,2016-06-06,4.19
158,2016-07-06,4.14
159,2016-08-06,4.31
160,2016-09-06,4.52
161,2016-10-06,4.54
162,2016-11-06,4.42
163,2016-12-06,4.66
164,2016-06-13,5.25
165,2016-06-14,5.53
166,2016-06-15,5.3
167,2016-06-16,5.49
168,2016-06-17,6.74
