,Date,Sg. Kusial Tanah Merah (m)
0,2016-01-01,11.15
1,2016-02-01,12.0
2,2016-03-01,11.6
3,2016-04-01,10.81
4,2016-05-01,10.55
5,2016-06-01,10.42
6,2016-07-01,10.31
7,2016-08-01,10.23
8,2016-09-01,10.15
9,2016-10-01,10.1
10,2016-11-01,9.98
11,2016-12-01,9.91
12,2016-01-13,9.86
13,2016-01-14,9.83
14,2016-01-15,9.87
15,2016-01-16,9.89
16,2016-01-17,10.12
17,2016-01-18,10.52
18,2016-01-19,10.2
19,2016-01-20,9.95
20,2016-01-21,9.8
21,2016-01-22,9.77
22,2016-01-23,10.1
23,2016-01-24,9.86
24,2016-01-25,9.68
25,2016-01-26,9.77
26,2016-01-27,10.25
27,2016-01-28,10.54
28,2016-01-29,10.35
29,2016-01-30,10.12
30,2016-01-31,9.89
31,2016-01-02,9.76
32,2016-02-02,9.67
33,2016-03-02,9.66
34,2016-04-02,9.82
35,2016-05-02,10.38
36,2016-06-02,11.28
37,2016-07-02,11.94
38,2016-08-02,11.67
39,2016-09-02,10.92
40,2016-10-02,10.39
41,2016-11-02,10.17
42,2016-12-02,10.07
43,2016-02-13,10.12
44,2016-02-14,10.33
45,2016-02-15,10.22
46,2016-02-16,10.12
47,2016-02-17,10.2
48,2016-02-18,9.96
49,2016-02-19,9.83
50,2016-02-20,9.82
51,2016-02-21,9.85
52,2016-02-22,9.68
53,2016-02-23,9.61
54,2016-02-24,9.61
55,2016-02-25,9.61
56,2016-02-26,9.54
57,2016-02-27,9.5
58,2016-02-28,9.7
59,2016-02-29,9.9
60,2016-01-03,9.8
61,2016-02-03,9.66
62,2016-03-03,9.51
63,2016-04-03,9.45
64,2016-05-03,9.39
65,2016-06-03,9.35
66,2016-07-03,9.33
67,2016-08-03,9.31
68,2016-09-03,9.29
69,2016-10-03,9.23
70,2016-11-03,9.22
71,2016-12-03,9.23
72,2016-03-13,9.23
73,2016-03-14,9.16
74,2016-03-15,9.12
75,2016-03-16,9.12
76,2016-03-17,9.1
77,2016-03-18,9.08
78,2016-03-19,9.09
79,2016-03-20,9.08
80,2016-03-21,9.04
81,2016-03-22,9.01
82,2016-03-23,9.01
83,2016-03-24,9.0
84,2016-03-25,8.98
85,2016-03-26,8.98
86,2016-03-27,8.96
87,2016-03-28,8.96
88,2016-03-29,8.96
89,2016-03-30,8.82
90,2016-03-31,9.64
91,2016-01-04,8.93
92,2016-02-04,8.91
93,2016-03-04,8.92
94,2016-04-04,8.91
95,2016-05-04,8.91
96,2016-06-04,8.94
97,2016-07-04,8.9
98,2016-08-04,8.86
99,2016-09-04,8.85
100,2016-10-04,8.83
101,2016-11-04,8.86
102,2016-12-04,8.81
103,2016-04-13,8.85
104,2016-04-14,8.91
105,2016-04-15,8.9
106,2016-04-16,8.85
107,2016-04-17,8.83
108,2016-04-18,8.95
109,2016-04-19,8.94
110,2016-04-20,8.87
111,2016-04-21,8.81
112,2016-04-22,8.79
113,2016-04-23,8.75
114,2016-04-24,8.73
115,2016-04-25,8.81
116,2016-04-26,8.87
117,2016-04-27,8.83
118,2016-04-28,8.82
119,2016-04-29,8.85
120,2016-04-30,9.63
121,2016-01-05,8.87
122,2016-02-05,8.79
123,2016-03-05,8.72
124,2016-04-05,8.74
125,2016-05-05,8.72
126,2016-06-05,8.71
127,2016-07-05,8.71
128,2016-08-05,8.77
129,2016-09-05,8.9
130,2016-10-05,8.98
131,2016-11-05,8.98
132,2016-12-05,8.84
133,2016-05-13,8.87
134,2016-05-14,8.87
135,2016-05-15,8.99
136,2016-05-16,8.99
137,2016-05-17,9.05
138,2016-05-18,9.05
139,2016-05-19,9.18
140,2016-05-20,9.44
141,2016-05-21,9.19
142,2016-05-22,9.0
143,2016-05-23,8.96
144,2016-05-24,8.83
145,2016-05-25,8.77
146,2016-05-26,8.77
147,2016-05-27,8.8
148,2016-05-28,8.91
149,2016-05-29,9.18
150,2016-05-30,9.21
151,2016-05-31,10.07
152,2016-01-06,9.63
153,2016-02-06,9.83
