,Date,Sg. Pahang Jerantut (m)
0,2016-01-01,44.76
1,2016-02-01,44.76
2,2016-03-01,44.76
3,2016-04-01,44.76
4,2016-05-01,44.76
5,2016-06-01,44.76
6,2016-07-01,44.76
7,2016-08-01,44.76
8,2016-09-01,44.76
9,2016-10-01,44.76
10,2016-11-01,44.76
11,2016-12-01,44.76
12,2016-01-13,44.76
13,2016-01-14,44.76
14,2016-01-15,44.76
15,2016-01-16,44.76
16,2016-01-17,44.76
17,2016-01-18,44.76
18,2016-01-19,44.76
19,2016-01-20,44.44
20,2016-01-21,44.26
21,2016-01-22,44.16
22,2016-01-23,44.25
23,2016-01-24,44.5
24,2016-01-25,44.25
25,2016-01-26,44.17
26,2016-01-27,44.38
27,2016-01-28,44.6
28,2016-01-29,44.61
29,2016-01-30,44.63
30,2016-01-31,44.43
31,2016-01-02,44.19
32,2016-02-02,44.11
33,2016-03-02,44.04
34,2016-04-02,44.13
35,2016-05-02,44.65
36,2016-06-02,45.53
37,2016-07-02,46.59
38,2016-08-02,46.69
39,2016-09-02,45.72
40,2016-10-02,45.09
41,2016-11-02,44.81
42,2016-12-02,44.68
43,2016-02-13,44.98
44,2016-02-14,45.56
45,2016-02-15,45.24
46,2016-02-16,45.06
47,2016-02-17,44.92
48,2016-02-18,44.64
49,2016-02-19,44.49
50,2016-02-20,44.51
51,2016-02-21,44.59
52,2016-02-22,44.39
53,2016-02-23,44.26
54,2016-02-24,44.19
55,2016-02-25,44.15
56,2016-02-26,44.11
57,2016-02-27,44.07
58,2016-02-28,44.06
59,2016-02-29,44.18
60,2016-01-03,44.19
61,2016-02-03,44.06
62,2016-03-03,43.98
63,2016-04-03,43.93
64,2016-05-03,43.89
65,2016-06-03,43.87
66,2016-07-03,43.86
67,2016-08-03,43.84
68,2016-09-03,43.81
69,2016-10-03,43.78
70,2016-11-03,43.75
71,2016-12-03,43.72
72,2016-03-13,43.7
73,2016-03-14,43.68
74,2016-03-15,43.68
75,2016-03-16,43.65
