,Date,Sg. Temerloh (m)
181,2016-06-30,23.42
212,2016-07-31,23.88
272,2016-09-29,23.2
273,2016-09-30,23.2
299,2016-10-26,23.04
300,2016-10-27,23.02
301,2016-10-28,22.99
302,2016-10-29,23.05
303,2016-10-30,24.36
304,2016-10-31,24.36
305,2016-01-11,23.5
306,2016-02-11,23.41
307,2016-03-11,23.53
308,2016-04-11,23.76
309,2016-05-11,23.84
310,2016-06-11,24.09
311,2016-07-11,24.35
312,2016-08-11,24.96
313,2016-09-11,24.95
314,2016-10-11,24.98
315,2016-11-11,24.7
316,2016-12-11,24.67
317,2016-11-13,24.45
318,2016-11-14,24.08
319,2016-11-15,23.82
320,2016-11-16,23.79
321,2016-11-17,23.7
322,2016-11-18,23.58
323,2016-11-19,23.56
324,2016-11-20,23.97
325,2016-11-21,24.72
326,2016-11-22,25.88
327,2016-11-23,25.35
328,2016-11-24,25.31
329,2016-11-25,24.83
330,2016-11-26,24.4
331,2016-11-27,24.33
332,2016-11-28,24.48
333,2016-11-29,24.51
334,2016-11-30,24.06
335,2016-01-12,24.68
336,2016-02-12,24.71
337,2016-03-12,24.56
338,2016-04-12,25.16
339,2016-05-12,25.14
340,2016-06-12,24.82
341,2016-07-12,24.58
342,2016-08-12,24.81
343,2016-09-12,25.32
344,2016-10-12,24.98
345,2016-11-12,25.14
346,2016-12-12,26.75
347,2016-12-13,26.35
348,2016-12-14,24.99
349,2016-12-15,24.45
350,2016-12-16,24.33
351,2016-12-17,24.29
352,2016-12-18,24.7
353,2016-12-19,25.21
354,2016-12-20,24.93
355,2016-12-21,24.67
356,2016-12-22,24.54
357,2016-12-23,24.37
358,2016-12-24,24.39
359,2016-12-25,24.35
360,2016-12-26,24.51
361,2016-12-27,24.69
362,2016-12-28,24.56
363,2016-12-29,24.34
364,2016-12-30,24.34
365,2016-12-31,24.34
366,2017-01-01,24.01
367,2017-02-01,25.17
368,2017-03-01,25.67
369,2017-04-01,25.92
370,2017-05-01,25.95
371,2017-06-01,25.28
372,2017-07-01,24.63
373,2017-08-01,24.33
374,2017-09-01,24.11
375,2017-10-01,23.95
376,2017-11-01,23.82
377,2017-12-01,23.76
378,2017-01-13,23.75
379,2017-01-14,23.96
380,2017-01-15,24.37
381,2017-01-16,25.03
382,2017-01-17,24.89
383,2017-01-18,24.99
384,2017-01-19,25.16
385,2017-01-20,25.08
386,2017-01-21,24.93
387,2017-01-22,24.98
388,2017-01-23,25.76
389,2017-01-24,26.69
390,2017-01-25,30.02
391,2017-01-26,32.01
392,2017-01-27,32.75
393,2017-01-28,32.95
394,2017-01-29,32.41
395,2017-01-30,30.24
396,2017-01-31,27.66
397,2017-01-02,26.57
398,2017-02-02,26.19
399,2017-03-02,25.8
400,2017-04-02,25.42
401,2017-05-02,25.24
402,2017-06-02,25.18
403,2017-07-02,25.11
404,2017-08-02,24.97
405,2017-09-02,24.68
406,2017-10-02,24.49
407,2017-11-02,24.36
408,2017-12-02,24.27
409,2017-02-13,24.26
410,2017-02-14,24.2
411,2017-02-15,24.18
412,2017-02-16,24.25
413,2017-02-17,24.27
414,2017-02-18,24.16
415,2017-02-19,24.06
416,2017-02-20,24.09
417,2017-02-21,24.09
418,2017-02-22,24.04
419,2017-02-23,23.96
420,2017-02-24,24.03
421,2017-02-25,24.11
422,2017-02-26,24.25
423,2017-02-27,24.46
424,2017-02-28,24.87
425,2017-01-03,25.68
426,2017-02-03,25.78
427,2017-03-03,26.31
428,2017-04-03,26.78
429,2017-05-03,26.03
430,2017-06-03,25.28
431,2017-07-03,24.99
432,2017-08-03,24.58
433,2017-09-03,24.37
434,2017-10-03,24.25
435,2017-11-03,24.08
