,Date,Sg. Besut Jerteh (m)
0,2016-01-01,2.16
1,2016-02-01,0.79
2,2016-03-01,0.82
3,2016-04-01,0.56
4,2016-05-01,0.47
5,2016-06-01,0.48
6,2016-07-01,0.3
7,2016-08-01,0.32
8,2016-09-01,0.28
9,2016-10-01,0.26
10,2016-11-01,0.3
11,2016-12-01,0.73
12,2016-01-13,0.92
13,2016-01-14,0.92
14,2016-01-15,0.93
15,2016-01-16,0.92
16,2016-01-17,0.99
17,2016-01-18,0.78
18,2016-01-19,0.82
19,2016-01-20,0.84
20,2016-01-21,0.64
21,2016-01-22,2.18
22,2016-01-23,0.79
23,2016-01-24,1.13
24,2016-01-25,1.22
25,2016-01-26,2.0
26,2016-01-27,3.4
27,2016-01-28,3.2
28,2016-01-29,1.74
29,2016-01-30,1.4
30,2016-01-31,1.32
31,2016-01-02,1.2
32,2016-02-02,1.09
33,2016-03-02,1.34
34,2016-04-02,2.1
35,2016-05-02,2.13
36,2016-06-02,2.67
37,2016-07-02,2.02
38,2016-08-02,1.81
39,2016-09-02,1.6
40,2016-10-02,1.41
41,2016-11-02,1.3
42,2016-12-02,1.21
43,2016-02-13,1.31
44,2016-02-14,1.24
45,2016-02-15,0.93
46,2016-02-16,1.09
47,2016-02-17,1.03
48,2016-02-18,1.01
49,2016-02-19,1.04
50,2016-02-20,1.01
51,2016-02-21,0.95
52,2016-02-22,0.67
53,2016-02-23,0.78
54,2016-02-24,0.83
55,2016-02-25,0.87
56,2016-02-26,0.74
57,2016-02-27,1.15
58,2016-02-28,1.43
59,2016-02-29,1.05
60,2016-01-03,0.8
61,2016-02-03,0.69
62,2016-03-03,0.85
63,2016-04-03,0.73
64,2016-05-03,0.69
65,2016-06-03,0.68
66,2016-07-03,0.69
67,2016-08-03,0.66
68,2016-09-03,0.61
69,2016-10-03,0.48
70,2016-11-03,0.61
71,2016-12-03,0.62
72,2016-03-13,0.45
73,2016-03-14,0.54
74,2016-03-15,0.63
75,2016-03-16,0.5
76,2016-03-17,0.41
77,2016-03-18,0.53
78,2016-03-19,0.54
79,2016-03-20,0.41
80,2016-03-21,0.4
81,2016-03-22,0.37
82,2016-03-23,0.43
83,2016-03-24,0.4
84,2016-03-25,0.38
85,2016-03-26,0.47
86,2016-03-27,0.51
87,2016-03-28,0.67
88,2016-03-29,0.69
89,2016-03-30,0.38
90,2016-03-31,0.92
91,2016-01-04,0.45
92,2016-02-04,0.45
93,2016-03-04,0.43
94,2016-04-04,0.4
95,2016-05-04,0.39
96,2016-06-04,0.38
97,2016-07-04,0.37
98,2016-08-04,0.37
99,2016-09-04,0.39
100,2016-10-04,0.4
101,2016-11-04,0.4
102,2016-12-04,0.41
103,2016-04-13,0.4
104,2016-04-14,0.39
105,2016-04-15,0.38
106,2016-04-16,0.37
107,2016-04-17,0.37
108,2016-04-18,0.3
109,2016-04-19,0.3
110,2016-04-20,0.34
111,2016-04-21,0.3
112,2016-04-22,0.29
113,2016-04-23,0.32
114,2016-04-24,0.34
115,2016-04-25,0.34
116,2016-04-26,0.33
117,2016-04-27,0.38
118,2016-04-28,0.38
119,2016-04-29,0.39
120,2016-04-30,0.88
121,2016-01-05,0.35
122,2016-02-05,0.33
123,2016-03-05,0.32
124,2016-04-05,0.31
125,2016-05-05,0.32
126,2016-06-05,0.33
127,2016-07-05,0.37
128,2016-08-05,0.41
129,2016-09-05,0.39
130,2016-10-05,0.41
131,2016-11-05,0.41
132,2016-12-05,0.4
133,2016-05-13,0.39
134,2016-05-14,0.38
135,2016-05-15,0.35
136,2016-05-16,0.34
137,2016-05-17,0.34
138,2016-05-18,0.34
139,2016-05-19,0.33
140,2016-05-20,0.33
141,2016-05-21,0.34
142,2016-05-22,0.32
143,2016-05-23,0.36
144,2016-05-24,0.47
145,2016-05-25,0.46
146,2016-05-26,0.39
147,2016-05-27,0.35
148,2016-05-28,0.32
149,2016-05-29,0.57
150,2016-05-30,0.32
151,2016-05-31,0.34
152,2016-01-06,0.64
153,2016-02-06,0.4
154,2016-03-06,0.45
155,2016-04-06,0.72
156,2016-05-06,0.55
157,2016-06-06,0.41
158,2016-07-06,0.43
159,2016-08-06,0.43
160,2016-09-06,0.53
161,2016-10-06,0.55
162,2016-11-06,0.42
163,2016-12-06,0.35
164,2016-06-13,0.33
165,2016-06-14,0.33
166,2016-06-15,0.39
167,2016-06-16,0.35
168,2016-06-17,0.55
169,2016-06-18,0.98
170,2016-06-19,0.4
171,2016-06-20,0.39
172,2016-06-21,0.51
173,2016-06-22,0.44
174,2016-06-23,0.4
175,2016-06-24,0.53
176,2016-06-25,0.45
177,2016-06-26,0.46
178,2016-06-27,0.37
179,2016-06-28,0.37
180,2016-06-29,0.34
181,2016-06-30,0.39
182,2016-01-07,0.33
183,2016-02-07,0.37
184,2016-03-07,0.38
185,2016-04-07,0.4
186,2016-05-07,0.41
187,2016-06-07,0.49
188,2016-07-07,0.44
189,2016-08-07,0.41
190,2016-09-07,0.36
191,2016-10-07,0.37
192,2016-11-07,0.32
193,2016-12-07,0.31
194,2016-07-13,0.29
195,2016-07-14,0.34
196,2016-07-15,0.34
197,2016-07-16,0.34
198,2016-07-17,0.34
199,2016-07-18,0.37
200,2016-07-19,0.72
201,2016-07-20,0.61
202,2016-07-21,0.43
203,2016-07-22,0.42
204,2016-07-23,0.43
205,2016-07-24,0.5
206,2016-07-25,0.55
207,2016-07-26,0.64
208,2016-07-27,1.13
209,2016-07-28,0.76
210,2016-07-29,0.64
211,2016-07-30,0.35
212,2016-07-31,6.09
213,2016-01-08,0.38
214,2016-02-08,0.39
215,2016-03-08,0.38
216,2016-04-08,0.41
217,2016-05-08,0.38
218,2016-06-08,0.39
219,2016-07-08,0.35
220,2016-08-08,0.33
221,2016-09-08,0.25
222,2016-10-08,0.22
223,2016-11-08,0.27
224,2016-12-08,0.86
225,2016-08-13,0.91
226,2016-08-14,0.66
227,2016-08-15,0.32
228,2016-08-16,0.3
229,2016-08-17,0.3
230,2016-08-18,0.3
231,2016-08-19,0.3
232,2016-08-20,0.31
233,2016-08-21,0.31
234,2016-08-22,0.27
235,2016-08-23,0.26
236,2016-08-24,0.32
237,2016-08-25,0.34
238,2016-08-26,0.32
239,2016-08-27,0.34
240,2016-08-28,0.38
241,2016-08-29,0.35
242,2016-08-30,0.3
243,2016-08-31,0.3
244,2016-01-09,0.31
245,2016-02-09,0.32
246,2016-03-09,0.29
247,2016-04-09,0.28
248,2016-05-09,0.26
249,2016-06-09,0.24
250,2016-07-09,0.27
251,2016-08-09,0.24
252,2016-09-09,0.27
253,2016-10-09,0.36
254,2016-11-09,0.26
255,2016-12-09,0.27
256,2016-09-13,0.29
257,2016-09-14,0.31
258,2016-09-15,0.31
259,2016-09-16,0.32
260,2016-09-17,0.42
261,2016-09-18,0.4
262,2016-09-19,0.41
263,2016-09-20,0.63
264,2016-09-21,0.59
265,2016-09-22,0.51
266,2016-09-23,0.46
267,2016-09-24,0.43
268,2016-09-25,0.36
269,2016-09-26,0.35
270,2016-09-27,0.34
271,2016-09-28,0.32
272,2016-09-29,0.31
273,2016-09-30,0.53
274,2016-01-10,0.3
275,2016-02-10,0.29
276,2016-03-10,0.31
277,2016-04-10,0.33
278,2016-05-10,0.32
279,2016-06-10,0.29
280,2016-07-10,0.39
281,2016-08-10,0.56
282,2016-09-10,0.84
283,2016-10-10,0.37
284,2016-11-10,0.34
285,2016-12-10,0.32
286,2016-10-13,0.33
287,2016-10-14,0.37
288,2016-10-15,0.38
289,2016-10-16,0.39
290,2016-10-17,0.39
291,2016-10-18,0.39
292,2016-10-19,0.48
