Date,Sg. Galas Dabong (m)
1/1/2016,27.69
2/1/2016,27.7
3/1/2016,26.8
4/1/2016,26.32
5/1/2016,26.22
6/1/2016,26.05
7/1/2016,25.98
8/1/2016,25.89
9/1/2016,25.81
10/1/2016,25.68
11/1/2016,25.51
12/1/2016,25.47
13/1/2016,25.41
14/1/2016,25.41
15/1/2016,25.59
16/1/2016,25.58
17/1/2016,26.63
18/1/2016,26.52
19/1/2016,26.06
20/1/2016,25.59
21/1/2016,25.38
22/1/2016,25.47
23/1/2016,25.43
24/1/2016,25.22
25/1/2016,25.15
26/1/2016,25.64
27/1/2016,26.27
28/1/2016,26.18
29/1/2016,25.94
30/1/2016,25.63
31/1/2016,25.39
1/2/2016,25.25
2/2/2016,25.2
3/2/2016,25.27
4/2/2016,25.73
5/2/2016,26.37
6/2/2016,28.16
7/2/2016,28.19
8/2/2016,27.55
9/2/2016,26.47
10/2/2016,26.07
11/2/2016,25.86
12/2/2016,25.89
13/2/2016,26.26
14/2/2016,26.38
15/2/2016,25.85
16/2/2016,26.2
17/2/2016,26.07
18/2/2016,25.63
19/2/2016,25.49
20/2/2016,25.72
21/2/2016,25.46
22/2/2016,25.28
23/2/2016,25.33
24/2/2016,25.42
25/2/2016,25.27
26/2/2016,25.18
27/2/2016,25.18
28/2/2016,25.65
29/2/2016,25.61
1/3/2016,25.56
2/3/2016,25.3
3/3/2016,25.19
4/3/2016,25.06
5/3/2016,25.03
6/3/2016,24.99
7/3/2016,24.97
8/3/2016,24.98
9/3/2016,24.87
10/3/2016,24.85
11/3/2016,24.86
12/3/2016,24.98
13/3/2016,24.8
14/3/2016,24.69
15/3/2016,24.74
16/3/2016,24.68
17/3/2016,24.65
18/3/2016,24.69
19/3/2016,24.72
20/3/2016,24.62
21/3/2016,24.58
22/3/2016,?
23/3/2016,?
24/3/2016,?
25/3/2016,?
26/3/2016,?
27/3/2016,?
28/3/2016,?
29/3/2016,?
30/3/2016,?
31/3/2016,?
1/4/2016,?
2/4/2016,?
3/4/2016,?
4/4/2016,?
5/4/2016,?
6/4/2016,?
7/4/2016,?
8/4/2016,?
9/4/2016,?
10/4/2016,?
11/4/2016,?
12/4/2016,?
13/4/2016,?
14/4/2016,?
15/4/2016,?
16/4/2016,?
17/4/2016,?
18/4/2016,?
19/4/2016,?
20/4/2016,?
21/4/2016,?
22/4/2016,?
23/4/2016,?
24/4/2016,?
25/4/2016,?
26/4/2016,?
27/4/2016,?
28/4/2016,?
29/4/2016,?
30/4/2016,?
1/5/2016,?
2/5/2016,?
3/5/2016,?
4/5/2016,?
5/5/2016,?
6/5/2016,?
7/5/2016,?
8/5/2016,?
9/5/2016,?
10/5/2016,?
11/5/2016,?
12/5/2016,?
13/5/2016,?
14/5/2016,?
15/5/2016,?
16/5/2016,?
17/5/2016,?
18/5/2016,?
19/5/2016,?
20/5/2016,?
21/5/2016,?
22/5/2016,?
23/5/2016,?
24/5/2016,?
25/5/2016,?
26/5/2016,?
27/5/2016,?
28/5/2016,?
29/5/2016,?
30/5/2016,?
31/5/2016,?
1/6/2016,?
2/6/2016,?
3/6/2016,?
4/6/2016,?
5/6/2016,?
6/6/2016,?
7/6/2016,?
8/6/2016,?
9/6/2016,?
10/6/2016,?
11/6/2016,?
12/6/2016,?
13/6/2016,?
14/6/2016,?
15/6/2016,?
16/6/2016,?
17/6/2016,?
18/6/2016,?
19/6/2016,?
20/6/2016,?
21/6/2016,?
22/6/2016,?
23/6/2016,?
24/6/2016,?
25/6/2016,?
26/6/2016,?
27/6/2016,?
28/6/2016,?
29/6/2016,?
30/6/2016,?
1/7/2016,?
2/7/2016,?
3/7/2016,?
4/7/2016,?
5/7/2016,?
6/7/2016,?
7/7/2016,?
8/7/2016,?
9/7/2016,?
10/7/2016,?
11/7/2016,?
12/7/2016,?
13/7/2016,?
14/7/2016,?
15/7/2016,?
16/7/2016,?
17/7/2016,?
18/7/2016,?
19/7/2016,?
20/7/2016,?
21/7/2016,?
22/7/2016,?
23/7/2016,?
24/7/2016,?
25/7/2016,?
26/7/2016,?
27/7/2016,?
28/7/2016,?
29/7/2016,?
30/7/2016,?
31/7/2016,33.65
1/8/2016,?
2/8/2016,?
3/8/2016,?
4/8/2016,?
5/8/2016,?
6/8/2016,?
7/8/2016,?
8/8/2016,?
9/8/2016,?
10/8/2016,?
11/8/2016,?
12/8/2016,?
13/8/2016,?
14/8/2016,?
15/8/2016,?
16/8/2016,?
17/8/2016,?
18/8/2016,?
19/8/2016,?
20/8/2016,?
21/8/2016,?
22/8/2016,?
23/8/2016,?
24/8/2016,?
25/8/2016,?
26/8/2016,?
27/8/2016,?
28/8/2016,?
29/8/2016,?
30/8/2016,?
31/8/2016,?
1/9/2016,?
2/9/2016,?
3/9/2016,?
4/9/2016,?
5/9/2016,?
6/9/2016,?
7/9/2016,?
8/9/2016,?
9/9/2016,?
10/9/2016,?
11/9/2016,?
12/9/2016,?
13/9/2016,?
14/9/2016,?
15/9/2016,?
16/9/2016,?
17/9/2016,?
18/9/2016,?
19/9/2016,?
20/9/2016,?
21/9/2016,?
22/9/2016,?
23/9/2016,?
24/9/2016,?
25/9/2016,?
26/9/2016,?
27/9/2016,?
28/9/2016,?
29/9/2016,?
30/9/2016,?
1/10/2016,?
2/10/2016,?
3/10/2016,?
4/10/2016,?
5/10/2016,?
6/10/2016,?
7/10/2016,?
8/10/2016,?
9/10/2016,?
10/10/2016,?
11/10/2016,?
12/10/2016,?
13/10/2016,?
14/10/2016,?
15/10/2016,?
16/10/2016,?
17/10/2016,?
18/10/2016,?
19/10/2016,?
20/10/2016,?
21/10/2016,?
22/10/2016,?
23/10/2016,?
24/10/2016,?
25/10/2016,?
26/10/2016,?
27/10/2016,?
28/10/2016,?
29/10/2016,?
30/10/2016,29.16
31/10/2016,29.16
1/11/2016,?
2/11/2016,?
3/11/2016,?
4/11/2016,?
5/11/2016,?
6/11/2016,?
7/11/2016,?
