Date,Sg. Golok (m)
1/1/2016,5.45
2/1/2016,5.51
3/1/2016,5.23
4/1/2016,5.03
5/1/2016,4.9
6/1/2016,4.77
7/1/2016,4.66
8/1/2016,4.58
9/1/2016,4.5
10/1/2016,4.44
11/1/2016,4.39
12/1/2016,4.34
13/1/2016,4.29
14/1/2016,4.25
15/1/2016,4.37
16/1/2016,4.35
17/1/2016,5.23
18/1/2016,5.27
19/1/2016,4.79
20/1/2016,4.54
21/1/2016,4.38
22/1/2016,4.39
23/1/2016,4.87
24/1/2016,4.58
25/1/2016,4.39
26/1/2016,4.51
27/1/2016,6.05
28/1/2016,7.89
29/1/2016,8.99
30/1/2016,8.56
31/1/2016,7.3
1/2/2016,6.34
2/2/2016,5.85
3/2/2016,5.62
4/2/2016,5.7
5/2/2016,6.07
6/2/2016,6.55
7/2/2016,6.57
8/2/2016,6.34
9/2/2016,5.96
10/2/2016,5.64
11/2/2016,5.45
12/2/2016,5.27
13/2/2016,5.14
14/2/2016,5.51
15/2/2016,5.23
16/2/2016,5.11
17/2/2016,5.1
18/2/2016,5
19/2/2016,5.11
20/2/2016,5.36
21/2/2016,5.09
22/2/2016,4.92
23/2/2016,4.83
24/2/2016,4.76
25/2/2016,4.7
26/2/2016,4.65
27/2/2016,4.63
28/2/2016,4.94
29/2/2016,5.08
1/3/2016,4.88
2/3/2016,4.72
3/3/2016,4.62
4/3/2016,4.56
5/3/2016,4.51
6/3/2016,4.49
7/3/2016,4.45
8/3/2016,4.42
9/3/2016,4.39
10/3/2016,4.36
11/3/2016,4.34
12/3/2016,4.32
13/3/2016,4.3
14/3/2016,4.27
15/3/2016,4.25
16/3/2016,4.23
17/3/2016,4.2
18/3/2016,4.18
19/3/2016,4.17
20/3/2016,4.15
21/3/2016,4.14
22/3/2016,4.12
23/3/2016,4.1
24/3/2016,4.09
25/3/2016,4.07
26/3/2016,4.13
27/3/2016,4.11
28/3/2016,4.13
29/3/2016,4.16
30/3/2016,3.86
31/3/2016,4.02
1/4/2016,4.05
2/4/2016,4.03
3/4/2016,4
4/4/2016,3.98
5/4/2016,3.97
6/4/2016,3.96
7/4/2016,3.99
8/4/2016,3.98
9/4/2016,3.97
10/4/2016,3.95
11/4/2016,3.94
12/4/2016,3.93
13/4/2016,3.95
14/4/2016,3.97
15/4/2016,3.95
16/4/2016,3.93
17/4/2016,3.94
18/4/2016,3.94
19/4/2016,3.97
20/4/2016,3.96
21/4/2016,3.95
22/4/2016,3.94
23/4/2016,3.93
24/4/2016,3.92
25/4/2016,3.91
26/4/2016,3.89
27/4/2016,3.88
28/4/2016,3.87
29/4/2016,3.86
30/4/2016,4.01
1/5/2016,3.85
2/5/2016,3.84
3/5/2016,3.84
4/5/2016,3.83
5/5/2016,3.83
6/5/2016,3.83
7/5/2016,3.83
8/5/2016,3.85
9/5/2016,3.87
10/5/2016,3.87
11/5/2016,3.84
12/5/2016,3.83
13/5/2016,3.82
14/5/2016,3.81
15/5/2016,3.81
16/5/2016,3.81
17/5/2016,3.81
18/5/2016,3.81
19/5/2016,3.81
20/5/2016,4.15
21/5/2016,4.17
22/5/2016,4.26
23/5/2016,4.14
24/5/2016,4.09
25/5/2016,4.05
26/5/2016,4.06
27/5/2016,4.02
28/5/2016,3.97
29/5/2016,4
30/5/2016,4.96
31/5/2016,5.37
1/6/2016,4.23
2/6/2016,4.23
