Date,Sg. Kusial Tanah Merah (m)
1/1/2016,11.15
2/1/2016,12
3/1/2016,11.6
4/1/2016,10.81
5/1/2016,10.55
6/1/2016,10.42
7/1/2016,10.31
8/1/2016,10.23
9/1/2016,10.15
10/1/2016,10.1
11/1/2016,9.98
12/1/2016,9.91
13/1/2016,9.86
14/1/2016,9.83
15/1/2016,9.87
16/1/2016,9.89
17/1/2016,10.12
18/1/2016,10.52
19/1/2016,10.2
20/1/2016,9.95
21/1/2016,9.8
22/1/2016,9.77
23/1/2016,10.1
24/1/2016,9.86
25/1/2016,9.68
26/1/2016,9.77
27/1/2016,10.25
28/1/2016,10.54
29/1/2016,10.35
30/1/2016,10.12
31/1/2016,9.89
1/2/2016,9.76
2/2/2016,9.67
3/2/2016,9.66
4/2/2016,9.82
5/2/2016,10.38
6/2/2016,11.28
7/2/2016,11.94
8/2/2016,11.67
9/2/2016,10.92
10/2/2016,10.39
11/2/2016,10.17
12/2/2016,10.07
13/2/2016,10.12
14/2/2016,10.33
15/2/2016,10.22
16/2/2016,10.12
17/2/2016,10.2
18/2/2016,9.96
19/2/2016,9.83
20/2/2016,9.82
21/2/2016,9.85
22/2/2016,9.68
23/2/2016,9.61
24/2/2016,9.61
25/2/2016,9.61
26/2/2016,9.54
27/2/2016,9.5
28/2/2016,9.7
29/2/2016,9.9
1/3/2016,9.8
2/3/2016,9.66
3/3/2016,9.51
4/3/2016,9.45
5/3/2016,9.39
6/3/2016,9.35
7/3/2016,9.33
8/3/2016,9.31
9/3/2016,9.29
10/3/2016,9.23
11/3/2016,9.22
12/3/2016,9.23
13/3/2016,9.23
14/3/2016,9.16
15/3/2016,9.12
16/3/2016,9.12
17/3/2016,9.1
18/3/2016,9.08
19/3/2016,9.09
20/3/2016,9.08
21/3/2016,9.04
22/3/2016,9.01
23/3/2016,9.01
24/3/2016,9
25/3/2016,8.98
26/3/2016,8.98
27/3/2016,8.96
28/3/2016,8.96
29/3/2016,8.96
30/3/2016,8.82
31/3/2016,9.64
1/4/2016,8.93
2/4/2016,8.91
3/4/2016,8.92
4/4/2016,8.91
5/4/2016,8.91
6/4/2016,8.94
7/4/2016,8.9
8/4/2016,8.86
9/4/2016,8.85
10/4/2016,8.83
11/4/2016,8.86
12/4/2016,8.81
13/4/2016,8.85
14/4/2016,8.91
15/4/2016,8.9
16/4/2016,8.85
17/4/2016,8.83
18/4/2016,8.95
19/4/2016,8.94
20/4/2016,8.87
21/4/2016,8.81
22/4/2016,8.79
23/4/2016,8.75
24/4/2016,8.73
25/4/2016,8.81
26/4/2016,8.87
27/4/2016,8.83
28/4/2016,8.82
29/4/2016,8.85
30/4/2016,9.63
1/5/2016,8.87
2/5/2016,8.79
3/5/2016,8.72
4/5/2016,8.74
5/5/2016,8.72
6/5/2016,8.71
7/5/2016,8.71
8/5/2016,8.77
9/5/2016,8.9
10/5/2016,8.98
11/5/2016,8.98
12/5/2016,8.84
13/5/2016,8.87
14/5/2016,8.87
15/5/2016,8.99
16/5/2016,8.99
17/5/2016,9.05
18/5/2016,9.05
19/5/2016,9.18
20/5/2016,9.44
21/5/2016,9.19
22/5/2016,9
23/5/2016,8.96
24/5/2016,8.83
25/5/2016,8.77
26/5/2016,8.77
27/5/2016,8.8
28/5/2016,8.91
29/5/2016,9.18
30/5/2016,9.21
31/5/2016,10.07
1/6/2016,9.63
2/6/2016,9.83
3/6/2016,9.4
4/6/2016,9.35
5/6/2016,9.48
6/6/2016,9.24
7/6/2016,9.19
8/6/2016,9.36
9/6/2016,9.38
10/6/2016,9.39
11/6/2016,9.44
12/6/2016,9.38
13/6/2016,9.59
14/6/2016,9.5
15/6/2016,9.89
16/6/2016,9.92
17/6/2016,10.15
18/6/2016,10.41
19/6/2016,10.37
20/6/2016,9.86
21/6/2016,9.71
22/6/2016,9.57
23/6/2016,9.45
24/6/2016,9.39
25/6/2016,9.57
26/6/2016,9.41
27/6/2016,9.43
28/6/2016,9.7
29/6/2016,9.35
30/6/2016,9.95
1/7/2016,9.24
2/7/2016,9.36
3/7/2016,9.26
4/7/2016,9.14
5/7/2016,9.11
6/7/2016,9.09
7/7/2016,9.37
8/7/2016,9.33
9/7/2016,9.24
10/7/2016,9.17
11/7/2016,9.27
12/7/2016,9.12
13/7/2016,9.19
14/7/2016,9.91
15/7/2016,9.38
16/7/2016,9.32
17/7/2016,9.3
18/7/2016,9.26
