Date,Sg. Jengka Maran (m)
1/1/2016,20.9
2/1/2016,20.9
3/1/2016,20.83
4/1/2016,20.75
5/1/2016,20.83
6/1/2016,21.5
7/1/2016,21.03
8/1/2016,20.7
9/1/2016,20.65
10/1/2016,20.72
11/1/2016,20.84
12/1/2016,20.6
13/1/2016,20.46
14/1/2016,20.37
15/1/2016,20.35
16/1/2016,20.44
17/1/2016,20.47
18/1/2016,20.42
19/1/2016,20.36
20/1/2016,20.34
21/1/2016,20.3
22/1/2016,20.29
23/1/2016,20.28
24/1/2016,20.31
25/1/2016,20.49
26/1/2016,20.41
27/1/2016,20.4
28/1/2016,20.39
29/1/2016,20.84
30/1/2016,20.74
31/1/2016,20.59
1/2/2016,20.48
2/2/2016,20.33
3/2/2016,20.25
4/2/2016,20.22
5/2/2016,20.21
6/2/2016,20.31
7/2/2016,20.66
8/2/2016,20.59
9/2/2016,20.6
10/2/2016,20.45
11/2/2016,20.33
12/2/2016,20.28
13/2/2016,20.24
14/2/2016,20.26
15/2/2016,20.35
16/2/2016,20.52
17/2/2016,20.4
18/2/2016,20.69
19/2/2016,20.51
20/2/2016,20.34
21/2/2016,20.28
22/2/2016,20.32
23/2/2016,20.3
24/2/2016,20.24
25/2/2016,20.2
26/2/2016,20.17
27/2/2016,20.16
28/2/2016,20.15
29/2/2016,20.14
1/3/2016,20.13
2/3/2016,20.12
3/3/2016,20.12
4/3/2016,20.12
5/3/2016,20.11
6/3/2016,20.1
7/3/2016,20.09
8/3/2016,20.09
9/3/2016,20.02
10/3/2016,20.11
11/3/2016,20.09
12/3/2016,20.08
13/3/2016,20.08
14/3/2016,20.07
15/3/2016,20.07
16/3/2016,20.06
17/3/2016,20.04
18/3/2016,20.06
19/3/2016,20.05
20/3/2016,20.04
21/3/2016,20.03
22/3/2016,20.01
23/3/2016,20.02
24/3/2016,20.04
25/3/2016,20.03
26/3/2016,20
27/3/2016,20
28/3/2016,20.14
29/3/2016,20.11
30/3/2016,20.3
31/3/2016,20.41
1/4/2016,20.03
2/4/2016,20.03
3/4/2016,20.06
4/4/2016,20.05
5/4/2016,20.05
6/4/2016,20.03
7/4/2016,20.01
8/4/2016,20
9/4/2016,20.11
10/4/2016,20.07
11/4/2016,20.03
12/4/2016,20.01
13/4/2016,20
14/4/2016,19.99
15/4/2016,19.97
16/4/2016,19.98
17/4/2016,19.96
18/4/2016,19.98
19/4/2016,20.02
20/4/2016,20.18
21/4/2016,20.26
22/4/2016,20.19
23/4/2016,20.1
24/4/2016,20.02
25/4/2016,19.97
26/4/2016,19.92
27/4/2016,19.96
28/4/2016,20.1
29/4/2016,20.27
30/4/2016,20.29
1/5/2016,20.3
2/5/2016,20.28
3/5/2016,20.29
4/5/2016,20.33
5/5/2016,20.33
6/5/2016,20.31
7/5/2016,20.29
8/5/2016,20.28
9/5/2016,20.28
10/5/2016,20.28
11/5/2016,20.28
12/5/2016,20.32
13/5/2016,20.32
14/5/2016,20.33
15/5/2016,20.35
16/5/2016,20.34
17/5/2016,20.31
18/5/2016,20.32
19/5/2016,20.33
20/5/2016,20.3
21/5/2016,20.32
22/5/2016,20.31
23/5/2016,20.31
24/5/2016,20.3
25/5/2016,20.32
26/5/2016,20.31
27/5/2016,20.32
28/5/2016,20.34
29/5/2016,20.31
30/5/2016,20.28
31/5/2016,20.56
1/6/2016,20.46
2/6/2016,20.62
3/6/2016,21.08
4/6/2016,20.81
5/6/2016,20.5
6/6/2016,20.42
7/6/2016,20.46
8/6/2016,20.4
9/6/2016,20.38
10/6/2016,20.34
11/6/2016,20.33
12/6/2016,20.46
13/6/2016,20.42
14/6/2016,20.41
15/6/2016,20.39
16/6/2016,20.34
17/6/2016,20.31
18/6/2016,20.3
19/6/2016,20.33
20/6/2016,20.47
21/6/2016,20.65
22/6/2016,20.61
23/6/2016,20.45
24/6/2016,20.38
25/6/2016,20.34
26/6/2016,20.32
27/6/2016,20.31
28/6/2016,20.3
29/6/2016,20.29
30/6/2016,20.38
1/7/2016,20.27
2/7/2016,20.28
3/7/2016,20.33
4/7/2016,20.35
5/7/2016,20.3
6/7/2016,20.28
7/7/2016,20.27
8/7/2016,20.27
9/7/2016,20.3
10/7/2016,20.48
11/7/2016,20.5
12/7/2016,20.48
13/7/2016,20.37
14/7/2016,20.33
15/7/2016,20.31
16/7/2016,20.29
17/7/2016,20.28
18/7/2016,20.29
19/7/2016,20.27
20/7/2016,20.31
21/7/2016,20.35
22/7/2016,20.48
23/7/2016,21.63
24/7/2016,21.63
25/7/2016,21.41
26/7/2016,20.89
27/7/2016,20.57
28/7/2016,20.46
29/7/2016,20.41
30/7/2016,20.4
31/7/2016,20.87
1/8/2016,20.34
2/8/2016,20.32
3/8/2016,20.32
4/8/2016,20.33
5/8/2016,20.36
6/8/2016,20.34
7/8/2016,20.32
8/8/2016,20.31
9/8/2016,20.29
10/8/2016,20.28
11/8/2016,20.28
12/8/2016,20.27
13/8/2016,20.27
14/8/2016,20.28
15/8/2016,20.27
16/8/2016,20.28
17/8/2016,20.31
18/8/2016,20.29
19/8/2016,20.28
20/8/2016,20.33
21/8/2016,20.35
22/8/2016,20.48
23/8/2016,20.42
24/8/2016,20.33
25/8/2016,20.39
26/8/2016,20.38
27/8/2016,20.36
28/8/2016,20.36
29/8/2016,20.36
30/8/2016,20.7
31/8/2016,20.77
1/9/2016,20.58
2/9/2016,20.47
3/9/2016,20.4
4/9/2016,20.36
5/9/2016,20.34
6/9/2016,20.31
7/9/2016,20.3
8/9/2016,20.4
9/9/2016,20.59
10/9/2016,20.46
11/9/2016,20.46
12/9/2016,21.15
13/9/2016,20.68
14/9/2016,20.49
15/9/2016,20.42
16/9/2016,20.38
17/9/2016,20.34
18/9/2016,20.32
19/9/2016,20.3
20/9/2016,20.29
21/9/2016,20.31
22/9/2016,20.3
23/9/2016,20.36
24/9/2016,20.33
25/9/2016,20.32
26/9/2016,20.5
27/9/2016,21.17
28/9/2016,21.17
29/9/2016,21
30/9/2016,21
1/10/2016,20.63
2/10/2016,20.45
3/10/2016,20.39
4/10/2016,20.38
5/10/2016,20.35
6/10/2016,20.33
7/10/2016,20.31
8/10/2016,20.42
9/10/2016,20.45
10/10/2016,20.39
11/10/2016,20.35
12/10/2016,20.31
13/10/2016,20.32
14/10/2016,20.37
15/10/2016,20.45
16/10/2016,20.42
17/10/2016,20.35
18/10/2016,20.31
19/10/2016,20.29
20/10/2016,20.29
21/10/2016,20.43
22/10/2016,20.43
23/10/2016,20.37
24/10/2016,20.32
25/10/2016,20.29
26/10/2016,20.32
27/10/2016,20.87
28/10/2016,21.27
29/10/2016,20.97
30/10/2016,21.28
31/10/2016,21.28
1/11/2016,20.71
2/11/2016,20.69
3/11/2016,21.23
4/11/2016,21.83
5/11/2016,22.06
6/11/2016,21.46
7/11/2016,22.21
8/11/2016,22.99
9/11/2016,22.28
10/11/2016,21.4
11/11/2016,20.88
12/11/2016,21.55
13/11/2016,21.17
14/11/2016,20.82
15/11/2016,20.66
16/11/2016,20.58
17/11/2016,20.57
18/11/2016,20.72
19/11/2016,21.03
20/11/2016,23.48
21/11/2016,24.23
22/11/2016,24.57
23/11/2016,24.43
24/11/2016,22.65
25/11/2016,21.2
26/11/2016,21.12
27/11/2016,22.14
28/11/2016,21.77
