Date,Sg. Berang Hulu Terengganu (m)
1/1/2016,21.43
2/1/2016,21.09
3/1/2016,20.85
4/1/2016,20.72
5/1/2016,20.61
6/1/2016,20.54
7/1/2016,20.48
8/1/2016,20.43
9/1/2016,20.39
10/1/2016,20.36
11/1/2016,20.33
12/1/2016,20.29
13/1/2016,20.27
14/1/2016,20.27
15/1/2016,20.32
16/1/2016,20.3
17/1/2016,20.31
18/1/2016,20.34
19/1/2016,20.26
20/1/2016,20.22
21/1/2016,20.2
22/1/2016,20.63
23/1/2016,20.55
24/1/2016,20.39
25/1/2016,20.51
26/1/2016,21.09
27/1/2016,21.07
28/1/2016,21.06
29/1/2016,20.9
30/1/2016,20.72
31/1/2016,20.61
1/2/2016,20.53
2/2/2016,20.48
3/2/2016,20.66
4/2/2016,21.31
5/2/2016,21.34
6/2/2016,21.8
7/2/2016,21.68
8/2/2016,21.38
9/2/2016,21.1
10/2/2016,20.92
11/2/2016,20.79
12/2/2016,20.69
13/2/2016,20.92
14/2/2016,20.92
15/2/2016,20.66
16/2/2016,20.57
17/2/2016,20.5
18/2/2016,20.46
19/2/2016,20.5
20/2/2016,20.47
21/2/2016,20.41
22/2/2016,20.37
23/2/2016,20.33
24/2/2016,20.3
25/2/2016,20.28
26/2/2016,20.28
27/2/2016,20.64
28/2/2016,20.83
29/2/2016,20.71
1/3/2016,20.55
2/3/2016,20.45
3/3/2016,20.4
4/3/2016,20.35
5/3/2016,20.32
6/3/2016,20.29
7/3/2016,20.29
8/3/2016,20.27
9/3/2016,20.25
10/3/2016,20.24
11/3/2016,20.23
12/3/2016,20.22
13/3/2016,20.22
14/3/2016,20.21
15/3/2016,20.2
16/3/2016,20.18
17/3/2016,20.17
18/3/2016,20.15
19/3/2016,20.14
20/3/2016,20.13
21/3/2016,20.12
22/3/2016,20.12
23/3/2016,20.11
24/3/2016,20.1
25/3/2016,20.09
26/3/2016,20.08
27/3/2016,20.09
28/3/2016,20.14
29/3/2016,20.12
30/3/2016,19.96
31/3/2016,20.01
1/4/2016,20.06
2/4/2016,20.05
3/4/2016,20.04
4/4/2016,20.04
5/4/2016,20.03
6/4/2016,20.02
7/4/2016,20.02
8/4/2016,20.01
9/4/2016,20.01
10/4/2016,20
11/4/2016,20
12/4/2016,20.01
13/4/2016,20.03
14/4/2016,20.04
15/4/2016,20.05
16/4/2016,20.02
17/4/2016,20.02
18/4/2016,20
19/4/2016,19.98
20/4/2016,19.97
21/4/2016,19.97
22/4/2016,19.96
23/4/2016,19.96
24/4/2016,19.97
25/4/2016,19.98
26/4/2016,19.98
27/4/2016,19.98
28/4/2016,19.98
29/4/2016,19.97
30/4/2016,20.01
1/5/2016,19.96
2/5/2016,19.95
3/5/2016,19.95
4/5/2016,19.95
5/5/2016,19.94
6/5/2016,19.94
7/5/2016,19.94
8/5/2016,19.94
9/5/2016,19.94
10/5/2016,19.94
11/5/2016,19.93
12/5/2016,19.93
13/5/2016,19.93
14/5/2016,19.97
15/5/2016,19.96
16/5/2016,19.95
17/5/2016,19.94
18/5/2016,19.93
19/5/2016,19.94
20/5/2016,19.98
21/5/2016,19.96
22/5/2016,19.95
23/5/2016,19.94
24/5/2016,19.93
25/5/2016,19.92
26/5/2016,19.91
27/5/2016,19.91
28/5/2016,19.91
29/5/2016,20.02
30/5/2016,20
31/5/2016,20.04
1/6/2016,19.98
2/6/2016,19.96
3/6/2016,19.97
4/6/2016,20.06
5/6/2016,20.01
6/6/2016,19.97
7/6/2016,19.96
8/6/2016,19.96
9/6/2016,19.95
10/6/2016,19.94
11/6/2016,19.94
12/6/2016,19.98
13/6/2016,19.98
14/6/2016,20
15/6/2016,19.99
16/6/2016,19.99
17/6/2016,20.14
18/6/2016,20.29
19/6/2016,20.15
20/6/2016,20.07
21/6/2016,20.02
22/6/2016,20
23/6/2016,19.98
24/6/2016,19.97
25/6/2016,19.97
26/6/2016,19.99
27/6/2016,20.16
28/6/2016,20.09
29/6/2016,20.03
30/6/2016,20.1
1/7/2016,19.98
2/7/2016,19.97
3/7/2016,19.96
4/7/2016,19.95
