Date,Sg. Besut Jerteh (m)
1/1/2016,2.16
2/1/2016,0.79
3/1/2016,0.82
4/1/2016,0.56
5/1/2016,0.47
6/1/2016,0.48
7/1/2016,0.3
8/1/2016,0.32
9/1/2016,0.28
10/1/2016,0.26
11/1/2016,0.3
12/1/2016,0.73
13/1/2016,0.92
14/1/2016,0.92
15/1/2016,0.93
16/1/2016,0.92
17/1/2016,0.99
18/1/2016,0.78
19/1/2016,0.82
20/1/2016,0.84
21/1/2016,0.64
22/1/2016,2.18
23/1/2016,0.79
24/1/2016,1.13
25/1/2016,1.22
26/1/2016,2
27/1/2016,3.4
28/1/2016,3.2
29/1/2016,1.74
30/1/2016,1.4
31/1/2016,1.32
1/2/2016,1.2
2/2/2016,1.09
3/2/2016,1.34
4/2/2016,2.1
5/2/2016,2.13
6/2/2016,2.67
7/2/2016,2.02
8/2/2016,1.81
9/2/2016,1.6
10/2/2016,1.41
11/2/2016,1.3
12/2/2016,1.21
13/2/2016,1.31
14/2/2016,1.24
15/2/2016,0.93
16/2/2016,1.09
17/2/2016,1.03
18/2/2016,1.01
19/2/2016,1.04
20/2/2016,1.01
21/2/2016,0.95
22/2/2016,0.67
23/2/2016,0.78
24/2/2016,0.83
25/2/2016,0.87
26/2/2016,0.74
27/2/2016,1.15
28/2/2016,1.43
29/2/2016,1.05
1/3/2016,0.8
2/3/2016,0.69
3/3/2016,0.85
4/3/2016,0.73
5/3/2016,0.69
6/3/2016,0.68
7/3/2016,0.69
8/3/2016,0.66
9/3/2016,0.61
10/3/2016,0.48
11/3/2016,0.61
12/3/2016,0.62
13/3/2016,0.45
14/3/2016,0.54
15/3/2016,0.63
16/3/2016,0.5
17/3/2016,0.41
18/3/2016,0.53
19/3/2016,0.54
20/3/2016,0.41
21/3/2016,0.4
22/3/2016,0.37
23/3/2016,0.43
24/3/2016,0.4
25/3/2016,0.38
26/3/2016,0.47
27/3/2016,0.51
28/3/2016,0.67
29/3/2016,0.69
30/3/2016,0.38
31/3/2016,0.92
1/4/2016,0.45
2/4/2016,0.45
3/4/2016,0.43
4/4/2016,0.4
5/4/2016,0.39
6/4/2016,0.38
7/4/2016,0.37
8/4/2016,0.37
9/4/2016,0.39
10/4/2016,0.4
11/4/2016,0.4
