Date,Sg. Kemaman (m)
1/1/2016,9.24
2/1/2016,9.09
3/1/2016,8.99
4/1/2016,8.93
5/1/2016,8.88
6/1/2016,8.84
7/1/2016,8.81
8/1/2016,8.78
9/1/2016,8.77
10/1/2016,8.75
11/1/2016,8.73
12/1/2016,8.71
13/1/2016,8.7
14/1/2016,8.7
15/1/2016,8.73
16/1/2016,8.7
17/1/2016,8.66
18/1/2016,8.64
19/1/2016,8.63
20/1/2016,8.61
21/1/2016,8.61
22/1/2016,9.33
23/1/2016,8.75
24/1/2016,8.65
25/1/2016,8.65
26/1/2016,8.78
27/1/2016,8.71
28/1/2016,8.66
29/1/2016,8.63
30/1/2016,8.6
31/1/2016,8.6
1/2/2016,8.59
2/2/2016,8.57
3/2/2016,8.76
4/2/2016,9.19
5/2/2016,9.65
6/2/2016,9.88
7/2/2016,9.35
8/2/2016,9.04
9/2/2016,8.89
10/2/2016,8.82
11/2/2016,8.77
12/2/2016,8.75
13/2/2016,8.85
14/2/2016,8.82
15/2/2016,8.74
16/2/2016,8.72
17/2/2016,8.69
18/2/2016,8.71
19/2/2016,8.71
20/2/2016,8.68
21/2/2016,8.65
22/2/2016,8.63
23/2/2016,8.62
24/2/2016,8.61
25/2/2016,8.6
26/2/2016,8.59
27/2/2016,8.61
28/2/2016,8.64
29/2/2016,8.64
1/3/2016,8.59
2/3/2016,8.59
3/3/2016,8.59
4/3/2016,8.59
5/3/2016,8.58
6/3/2016,8.57
7/3/2016,8.56
8/3/2016,8.55
9/3/2016,8.54
10/3/2016,8.54
11/3/2016,8.53
12/3/2016,8.54
13/3/2016,8.54
14/3/2016,8.52
15/3/2016,8.51
16/3/2016,8.51
17/3/2016,8.5
18/3/2016,8.49
19/3/2016,8.48
20/3/2016,8.48
21/3/2016,8.47
22/3/2016,8.47
23/3/2016,8.47
24/3/2016,8.46
25/3/2016,8.45
26/3/2016,8.45
27/3/2016,8.45
28/3/2016,8.75
29/3/2016,8.54
30/3/2016,8.34
31/3/2016,8.48
1/4/2016,8.45
2/4/2016,8.44
3/4/2016,8.44
4/4/2016,8.44
5/4/2016,8.43
6/4/2016,8.42
7/4/2016,8.41
8/4/2016,8.41
9/4/2016,8.4
10/4/2016,8.4
11/4/2016,8.39
12/4/2016,8.42
13/4/2016,8.47
14/4/2016,8.48
15/4/2016,8.43
16/4/2016,8.41
17/4/2016,8.39
18/4/2016,8.41
19/4/2016,8.38
20/4/2016,8.37
21/4/2016,8.37
22/4/2016,8.36
23/4/2016,8.37
24/4/2016,8.4
25/4/2016,8.37
26/4/2016,8.36
27/4/2016,8.35
28/4/2016,8.35
29/4/2016,8.34
30/4/2016,8.44
1/5/2016,8.33
2/5/2016,8.53
3/5/2016,8.56
4/5/2016,8.4
5/5/2016,8.38
6/5/2016,8.38
7/5/2016,8.37
8/5/2016,8.38
9/5/2016,8.42
10/5/2016,8.37
11/5/2016,8.37
12/5/2016,8.31
13/5/2016,8.29
14/5/2016,8.28
15/5/2016,8.27
16/5/2016,8.3
17/5/2016,8.28
18/5/2016,8.26
19/5/2016,8.38
20/5/2016,8.36
21/5/2016,8.47
22/5/2016,8.47
23/5/2016,8.33
24/5/2016,8.29
25/5/2016,8.28
26/5/2016,8.28
27/5/2016,8.35
28/5/2016,8.38
29/5/2016,8.31
30/5/2016,8.33
31/5/2016,8.44
1/6/2016,8.35
2/6/2016,8.31
3/6/2016,8.3
4/6/2016,8.34
5/6/2016,8.28
6/6/2016,8.57
7/6/2016,8.5
8/6/2016,8.34
9/6/2016,8.3
10/6/2016,8.28
11/6/2016,8.41
12/6/2016,8.4
13/6/2016,8.43
14/6/2016,8.62
15/6/2016,8.6
16/6/2016,8.56
17/6/2016,8.56
18/6/2016,8.47
19/6/2016,8.41
20/6/2016,8.37
21/6/2016,8.37
22/6/2016,8.51
23/6/2016,8.39
24/6/2016,8.34
25/6/2016,8.32
26/6/2016,8.38
27/6/2016,8.48
28/6/2016,8.36
29/6/2016,8.32
30/6/2016,8.54
1/7/2016,8.5
2/7/2016,8.35
3/7/2016,8.31
4/7/2016,8.29
5/7/2016,8.3
6/7/2016,8.34
7/7/2016,8.32
8/7/2016,8.33
9/7/2016,8.29
10/7/2016,8.3
11/7/2016,8.28
12/7/2016,8.3
13/7/2016,8.39
14/7/2016,8.48
15/7/2016,8.53
16/7/2016,8.39
17/7/2016,8.34
18/7/2016,8.42
19/7/2016,8.48
20/7/2016,8.47
21/7/2016,8.49
22/7/2016,8.38
23/7/2016,8.35
24/7/2016,8.54
25/7/2016,8.51
26/7/2016,8.37
27/7/2016,8.36
28/7/2016,8.34
29/7/2016,8.49
30/7/2016,8.45
31/7/2016,9.5
1/8/2016,8.36
2/8/2016,8.32
3/8/2016,8.3
4/8/2016,8.36
5/8/2016,8.35
6/8/2016,8.55
7/8/2016,8.4
8/8/2016,8.37
9/8/2016,8.35
10/8/2016,8.35
11/8/2016,8.48
12/8/2016,8.48
13/8/2016,8.39
14/8/2016,8.36
15/8/2016,8.35
16/8/2016,8.34
17/8/2016,8.35
18/8/2016,8.36
19/8/2016,8.34
20/8/2016,8.37
21/8/2016,8.43
22/8/2016,8.35
23/8/2016,8.33
24/8/2016,8.36
25/8/2016,8.52
26/8/2016,8.76
27/8/2016,8.53
28/8/2016,8.43
29/8/2016,8.39
30/8/2016,8.63
31/8/2016,8.63
1/9/2016,8.42
2/9/2016,8.4
3/9/2016,8.53
4/9/2016,8.58
5/9/2016,8.6
6/9/2016,8.73
7/9/2016,8.62
8/9/2016,8.66
9/9/2016,8.59
10/9/2016,8.52
11/9/2016,8.51
12/9/2016,8.6
13/9/2016,8.77
14/9/2016,8.96
15/9/2016,8.68
16/9/2016,8.6
17/9/2016,8.66
18/9/2016,8.6
19/9/2016,8.68
20/9/2016,8.62
21/9/2016,8.56
22/9/2016,8.59
23/9/2016,8.54
24/9/2016,8.58
25/9/2016,8.55
26/9/2016,8.51
27/9/2016,8.53
28/9/2016,8.57
29/9/2016,8.69
30/9/2016,8.91
1/10/2016,8.6
2/10/2016,8.58
3/10/2016,8.55
4/10/2016,8.61
5/10/2016,8.7
6/10/2016,8.6
7/10/2016,8.55
8/10/2016,8.51
9/10/2016,8.61
10/10/2016,8.66
11/10/2016,8.67
12/10/2016,8.5
13/10/2016,8.51
14/10/2016,8.51
15/10/2016,8.45
16/10/2016,8.54
17/10/2016,8.49
18/10/2016,8.45
19/10/2016,8.45
20/10/2016,8.54
21/10/2016,8.64
22/10/2016,8.95
23/10/2016,8.61
24/10/2016,8.57
25/10/2016,8.51
26/10/2016,8.59
27/10/2016,9.02
28/10/2016,8.69
29/10/2016,8.67
30/10/2016,9.49
31/10/2016,9.49
1/11/2016,9.23
2/11/2016,8.98
3/11/2016,8.72
4/11/2016,8.66
5/11/2016,8.7
6/11/2016,8.74
7/11/2016,8.68
